Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
RB16,2026-05-21T15:11:09.793,2026-05-21T16:36:23.25,SQO260521151105482,7.0124.07862.03,8,0,12.95,103.6,3,10.25,8,0,,1,ROBO DE SOLDA
RB34,2026-05-21T15:12:53.1,2026-05-21T16:14:41.687,SQO260521151128791,8.0124.06646.Q07,1,0,95.75,95.75,,61,1,0,,1,ROBO DE SOLDA
RB30,2026-05-21T15:19:04.183,2026-05-21T15:51:33.473,SQO260521143613561,7.9113.01273.00,1,0,,,,32,1,0,MOTOFIL,1,ROBO DE SOLDA
RB17,2026-05-21T15:19:07.39,2026-05-21T15:54:44.63,SQO260521151818071,7.7800.00183.B,1,0,33.24,33.24,,35,1,0,,1,ROBO DE SOLDA
RB24,2026-05-21T15:22:08.16,2026-05-21T16:05:46.07,SQO260521152206606,7.7129.01258.D,3,0,31,93,11,10.666666666666666,3,0,,1,ROBO DE SOLDA
DB43,2026-05-21T15:22:53.733,2026-05-21T15:34:58.49,SQO260521151839715,7.6891.00206.01,1,0,5.82,5.82,,12,1,0,,1,DOBRADEIRA
RB36,2026-05-21T15:24:59.127,2026-05-21T17:50:24.703,SQO260521152457534,8.7129.00865.E,1,0,133.7,133.7,0,145,1,0,,2,ROBO DE SOLDA
RB05,2026-05-21T15:26:36.723,2026-05-21T16:20:55.6,SQO260521152635051,8.8088.08265.A,7,0,5.5,38.5,,7.714285714285714,7,0,,1,ROBO DE SOLDA
MD09,2026-05-21T15:27:56.247,2026-05-21T18:30:02.487,SQO260521152752880,8.0553.00067.06,1,0,36.225,36.225,4,178,1,0,HELLER,2,USINAGEM
CL09,2026-05-21T15:28:47.22,2026-05-21T16:29:11.1,SQO260521152838209,7.9113.01302.00,1,0,32.12,32.12,,60,1,0,,1,CALANDRA
CTU05,2026-05-21T15:48:36.163,2026-05-21T16:32:16.98,SQO260521100944927,7.6602.00395.02,3,0,13,39,,14.333333333333334,3,0,,1,USINAGEM
RB30,2026-05-21T15:52:42.18,2026-05-21T16:26:23.1,SQO260521155147845,8.0124.07048.Q01,1,0,33.2,33.2,0,33,1,0,MOTOFIL,1,ROBO DE SOLDA
DB43,2026-05-21T16:03:56.98,2026-05-21T16:26:38.56,SQO260521153608014,8.0124.06955.02,2,0,12.43,24.86,,11,2,0,,1,DOBRADEIRA
RB43,2026-05-21T16:07:26.647,2026-05-21T18:40:49.25,SQO260521160646837,7.6891.00967.A,2,0,131.22,131.22,,306,2,0,,2,ROBO DE SOLDA
CTU24,2026-05-21T16:09:09.98,2026-05-22T01:49:10.437,SQO260521110824755,8.2155.02142.P01,10,0,45.93,459.3,153,42.7,10,0,,2,USINAGEM
MD07,2026-05-21T16:10:39.483,2026-05-21T16:33:45.23,SQO260521161005359,8.0124.06758.04,2,0,16,32,,11.5,2,0,HELLER,1,USINAGEM
CTU28,2026-05-21T16:12:37.82,2026-05-21T16:24:04.343,SQO260521081602543,8.2155.02755.P06,2,0,13.5,27,,5.5,2,0,,1,USINAGEM
RB23,2026-05-21T16:14:23.207,2026-05-21T16:50:59.91,SQO260521161421055,7.0124.09717.H06,1,0,38,38,,36,1,0,,2,ROBO DE SOLDA
CTU18,2026-05-21T16:14:31.603,2026-05-22T01:38:56.707,SQO260521083108020,7.2155.02697.P02,19,0,15.14,287.66,180,20.210526315789473,19,0,,2,USINAGEM
MD03,2026-05-21T16:14:54.88,2026-05-21T18:07:01.897,SQO260521161453413,8.0553.00066.06,1,0,55,55,,112,1,0,WOTAN,2,USINAGEM
CTU02,2026-05-21T16:17:21.827,2026-05-22T01:41:31.073,SQO260521113637356,7.0124.08651.W00,11,0,,,106,41.63636363636363,11,0,,2,USINAGEM
CTU19,2026-05-21T16:21:59.673,2026-05-22T01:36:27.587,SQO260521101747574,7.7129.01020.E,7,0,60,420,131,60.42857142857143,7,0,,2,USINAGEM
CTU28,2026-05-21T16:24:04.343,2026-05-21T18:06:49.47,SQO260521081602543,8.2155.02755.P06,1,0,13.5,13.5,36,66,1,0,,2,USINAGEM
